snf_grant_number;year;research_area;amount_granted;role;research_institution;research_institution_type;country;iso_code;continent;partner_budget;world_region;person_id
212418;2022;Biology and Medicine;NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;5354
200524;2021;Humanities and Social Sciences;NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;14071
179346;2018;Biology and Medicine;427000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;875
201115;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;13630
173255;2017;Biology and Medicine;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;3942
182256;2018;Humanities and Social Sciences;316458;Applicant;Zurich University of Applied Sciences – ZHAW;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;202
197779;2020;Biology and Medicine;812000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;11041
204364;2021;Biology and Medicine;NA;Projektpartner;NA;NA;Australia;AU;Oceania;NA;Oceania;15330
212762;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;8421
179457;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Canada;CA;North America;NA;North America;4747
172737;2017;Humanities and Social Sciences;545543;Applicant;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;930
172812;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;11560
207369;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;4504
188865;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;14667
197678;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Austria;AT;Europe;NA;Europe;1166
212448;2022;Humanities and Social Sciences;NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;1303
212485;2022;Humanities and Social Sciences;328098;Applicant;Lucerne University of Applied Sciences and Arts – HSLU;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;11515
182344;2018;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;13187
188639;2019;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9385
188865;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Spain;ES;Europe;NA;Europe;8920
175556;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;7882
212737;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;12414
204103;2021;"Mathematics, Natural and
Engineering Sciences";803892;Applicant;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;15026
213019;2022;Biology and Medicine;NA;Projektpartner;NA;NA;Czech Republic;CZ;Europe;NA;Europe;6195
192588;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;6181
197713;2020;Biology and Medicine;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;4488
182469;2018;Biology and Medicine;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;496
212884;2022;"Mathematics, Natural and
Engineering Sciences";685060;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;9789
201275;2021;Biology and Medicine;908000;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;788
192247;2020;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;8855
197524;2020;Biology and Medicine;NA;Projektpartner;Ente Ospedaliero Cantonale – EOC;Other research institutions;Switzerland;CH;Europe;NA;Europe;991
197901;2020;Biology and Medicine;454000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;15536
212236;2022;Biology and Medicine;1150074;Applicant;Institute Friedrich Miescher – FMI;Other research institutions;Switzerland;CH;Europe;NA;Europe;12347
207997;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;16614
172709;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;2846
188978;2019;Biology and Medicine;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;2728
172665;2017;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12477
173044;2017;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;11093
182628;2018;Biology and Medicine;NA;Projektpartner;Ostschweizer Kinderspital – OSKS;Other research institutions;Switzerland;CH;Europe;NA;Europe;12683
204378;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;866
191994;2020;"Mathematics, Natural and
Engineering Sciences";535470;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;331
200850;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Netherlands;NL;Europe;NA;Europe;9242
173076;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;792
176172;2017;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;9940
185432;2019;Humanities and Social Sciences;642343;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;12012
207369;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Neuchatel – NE;Cantonal University;Switzerland;CH;Europe;NA;Europe;15156
179353;2018;Biology and Medicine;NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;4576
175984;2017;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;3221
176216;2017;Biology and Medicine;700000;Co-applicants;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9861
197713;2020;Biology and Medicine;482000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;5268
182357;2018;Biology and Medicine;700000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;10000
207874;2022;Humanities and Social Sciences;259050;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;3548
